sceneflagid: numbering on sheet
0: scene flag: 0x1 01
1: scene flag: 0x1 02
2: scene flag: 0x1 04
3: scene flag: 0x1 08
4: scene flag: 0x1 10
5: scene flag: 0x1 20
6: scene flag: 0x1 40
7: scene flag: 0x1 80
8: scene flag: 0x0 01
9: scene flag: 0x0 02
10: scene flag: 0x0 04
11: scene flag: 0x0 08
12: scene flag: 0x0 10
13: scene flag: 0x0 20
14: scene flag: 0x0 40
15: scene flag: 0x0 80
16: scene flag: 0x3 01
17: scene flag: 0x3 02
18: scene flag: 0x3 04
19: scene flag: 0x3 08
20: scene flag: 0x3 10
21: scene flag: 0x3 20
22: scene flag: 0x3 40
23: scene flag: 0x3 80
24: scene flag: 0x2 01
25: scene flag: 0x2 02
26: scene flag: 0x2 04
27: scene flag: 0x2 08
28: scene flag: 0x2 10
29: scene flag: 0x2 20
30: scene flag: 0x2 40
31: scene flag: 0x2 80
32: scene flag: 0x5 01
33: scene flag: 0x5 02
34: scene flag: 0x5 04
35: scene flag: 0x5 08
36: scene flag: 0x5 10
37: scene flag: 0x5 20
38: scene flag: 0x5 40
39: scene flag: 0x5 80
40: scene flag: 0x4 01
41: scene flag: 0x4 02
42: scene flag: 0x4 04
43: scene flag: 0x4 08
44: scene flag: 0x4 10
45: scene flag: 0x4 20
46: scene flag: 0x4 40
47: scene flag: 0x4 80
48: scene flag: 0x7 01
49: scene flag: 0x7 02
50: scene flag: 0x7 04
51: scene flag: 0x7 08
52: scene flag: 0x7 10
53: scene flag: 0x7 20
54: scene flag: 0x7 40
55: scene flag: 0x7 80
56: scene flag: 0x6 01
57: scene flag: 0x6 02
58: scene flag: 0x6 04
59: scene flag: 0x6 08
60: scene flag: 0x6 10
61: scene flag: 0x6 20
62: scene flag: 0x6 40
63: scene flag: 0x6 80
64: scene flag: 0x9 01
65: scene flag: 0x9 02
66: scene flag: 0x9 04
67: scene flag: 0x9 08
68: scene flag: 0x9 10
69: scene flag: 0x9 20
70: scene flag: 0x9 40
71: scene flag: 0x9 80
72: scene flag: 0x8 01
73: scene flag: 0x8 02
74: scene flag: 0x8 04
75: scene flag: 0x8 08
76: scene flag: 0x8 10
77: scene flag: 0x8 20
78: scene flag: 0x8 40
79: scene flag: 0x8 80
80: scene flag: 0xB 01
81: scene flag: 0xB 02
82: scene flag: 0xB 04
83: scene flag: 0xB 08
84: scene flag: 0xB 10
85: scene flag: 0xB 20
86: scene flag: 0xB 40
87: scene flag: 0xB 80
88: scene flag: 0xA 01
89: scene flag: 0xA 02
90: scene flag: 0xA 04
91: scene flag: 0xA 08
92: scene flag: 0xA 10
93: scene flag: 0xA 20
94: scene flag: 0xA 40
95: scene flag: 0xA 80
96: scene flag: 0xD 01
97: scene flag: 0xD 02
98: scene flag: 0xD 04
99: scene flag: 0xD 08
100: scene flag: 0xD 10
101: scene flag: 0xD 20
102: scene flag: 0xD 40
103: scene flag: 0xD 80
104: scene flag: 0xC 01
105: scene flag: 0xC 02
106: scene flag: 0xC 04
107: scene flag: 0xC 08
108: scene flag: 0xC 10
109: scene flag: 0xC 20
110: scene flag: 0xC 40
111: scene flag: 0xC 80
112: scene flag: 0xF 01
113: scene flag: 0xF 02
114: scene flag: 0xF 04
115: scene flag: 0xF 08
116: scene flag: 0xF 10
117: scene flag: 0xF 20
118: scene flag: 0xF 40
119: scene flag: 0xF 80
120: scene flag: 0xE 01
121: scene flag: 0xE 02
122: scene flag: 0xE 04
123: scene flag: 0xE 08
124: scene flag: 0xE 10
125: scene flag: 0xE 20
126: scene flag: 0xE 40
127: scene flag: 0xE 80
-128: temp flag: 0x1 01
-127: temp flag: 0x1 02
-126: temp flag: 0x1 04
-125: temp flag: 0x1 08
-124: temp flag: 0x1 10
-123: temp flag: 0x1 20
-122: temp flag: 0x1 40
-121: temp flag: 0x1 80
-120: temp flag: 0x0 01
-119: temp flag: 0x0 02
-118: temp flag: 0x0 04
-117: temp flag: 0x0 08
-116: temp flag: 0x0 10
-115: temp flag: 0x0 20
-114: temp flag: 0x0 40
-113: temp flag: 0x0 80
-112: temp flag: 0x3 01
-111: temp flag: 0x3 02
-110: temp flag: 0x3 04
-109: temp flag: 0x3 08
-108: temp flag: 0x3 10
-107: temp flag: 0x3 20
-106: temp flag: 0x3 40
-105: temp flag: 0x3 80
-104: temp flag: 0x2 01
-103: temp flag: 0x2 02
-102: temp flag: 0x2 04
-101: temp flag: 0x2 08
-100: temp flag: 0x2 10
-99: temp flag: 0x2 20
-98: temp flag: 0x2 40
-97: temp flag: 0x2 80
-96: temp flag: 0x5 01
-95: temp flag: 0x5 02
-94: temp flag: 0x5 04
-93: temp flag: 0x5 08
-92: temp flag: 0x5 10
-91: temp flag: 0x5 20
-90: temp flag: 0x5 40
-89: temp flag: 0x5 80
-88: temp flag: 0x4 01
-87: temp flag: 0x4 02
-86: temp flag: 0x4 04
-85: temp flag: 0x4 08
-84: temp flag: 0x4 10
-83: temp flag: 0x4 20
-82: temp flag: 0x4 40
-81: temp flag: 0x4 80
-80: temp flag: 0x7 01
-79: temp flag: 0x7 02
-78: temp flag: 0x7 04
-77: temp flag: 0x7 08
-76: temp flag: 0x7 10
-75: temp flag: 0x7 20
-74: temp flag: 0x7 40
-73: temp flag: 0x7 80
-72: temp flag: 0x6 01
-71: temp flag: 0x6 02
-70: temp flag: 0x6 04
-69: temp flag: 0x6 08
-68: temp flag: 0x6 10
-67: temp flag: 0x6 20
-66: temp flag: 0x6 40
-65: temp flag: 0x6 80
-64: temp flag: 0x9 01
-63: temp flag: 0x9 02
-62: temp flag: 0x9 04
-61: temp flag: 0x9 08
-60: temp flag: 0x9 10
-59: temp flag: 0x9 20
-58: temp flag: 0x9 40
-57: temp flag: 0x9 80
-56: temp flag: 0x8 01
-55: temp flag: 0x8 02
-54: temp flag: 0x8 04
-53: temp flag: 0x8 08
-52: temp flag: 0x8 10
-51: temp flag: 0x8 20
-50: temp flag: 0x8 40
-49: temp flag: 0x8 80
-48: temp flag: 0xB 01
-47: temp flag: 0xB 02
-46: temp flag: 0xB 04
-45: temp flag: 0xB 08
-44: temp flag: 0xB 10
-43: temp flag: 0xB 20
-42: temp flag: 0xB 40
-41: temp flag: 0xB 80
-40: temp flag: 0xA 01
-39: temp flag: 0xA 02
-38: temp flag: 0xA 04
-37: temp flag: 0xA 08
-36: temp flag: 0xA 10
-35: temp flag: 0xA 20
-34: temp flag: 0xA 40
-33: temp flag: 0xA 80
-32: temp flag: 0xD 01
-31: temp flag: 0xD 02
-30: temp flag: 0xD 04
-29: temp flag: 0xD 08
-28: temp flag: 0xD 10
-27: temp flag: 0xD 20
-26: temp flag: 0xD 40
-25: temp flag: 0xD 80
-24: temp flag: 0xC 01
-23: temp flag: 0xC 02
-22: temp flag: 0xC 04
-21: temp flag: 0xC 08
-20: temp flag: 0xC 10
-19: temp flag: 0xC 20
-18: temp flag: 0xC 40
-17: temp flag: 0xC 80
-16: temp flag: 0xF 01
-15: temp flag: 0xF 02
-14: temp flag: 0xF 04
-13: temp flag: 0xF 08
-12: temp flag: 0xF 10
-11: temp flag: 0xF 20
-10: temp flag: 0xF 40
-9: temp flag: 0xF 80
-8: temp flag: 0xE 01
-7: temp flag: 0xE 02
-6: temp flag: 0xE 04
-5: temp flag: 0xE 08
-4: temp flag: 0xE 10
-3: temp flag: 0xE 20
-2: temp flag: 0xE 40
-1: no flag set
